Mean,S.D1,Variance,Kurtotis1,Skew1,Entrophy1,Class
1.620340712,233.7863028,27328.01769,243.2105108,426.9810674,59.53045358,0
2.621482603,354.2417132,62743.59567,244.9962061,419.8664751,66.79258099,0
2.06112305,293.8312517,43168.40223,224.9002554,411.3519633,63.54365657,0
4.878720611,668.3761056,223363.3092,225.9002274,410.0100482,58.93466579,0
1.833378642,258.6634367,33453.38674,236.0566026,419.3444048,63.2512741,0
3.334942981,470.6256357,110744.2445,221.5580205,408.8514359,60.68094256,0
0.581851647,88.68782121,3932.764816,261.1513935,446.7276657,63.9370516,0
0.774926938,115.0658692,6620.077123,241.4017525,428.5155339,66.04546703,0
4.334621549,680.4353426,231496.1277,278.6240918,459.9193745,57.31101957,0
1.024359805,168.9876307,14278.40967,301.1318055,479.4386144,58.62566315,0
4.067905945,624.1504495,194781.8918,286.2959868,460.7628589,58.27878594,0
1.846918215,296.3866594,43922.52594,286.5485388,465.5192738,58.11177535,0
0.675289906,112.4302966,6320.285795,311.7299776,486.8724019,57.29270468,0
1.059119678,172.4459681,14868.80596,290.4579532,468.8631988,57.96654933,0
0.659833676,115.2525143,6641.571023,357.237396,521.6860752,57.74713116,0
0.647659469,93.96819131,4415.010489,227.3416548,415.1741908,61.72259701,0
1.119677714,193.636479,18747.54299,345.9530723,513.45756,57.82800847,0
1.462538286,250.423959,31356.07962,331.592308,502.4597249,57.83149096,0
0.97105189,168.9060719,14264.63057,340.9321652,509.3813903,58.74904191,0
1.212305664,210.2730598,22107.37985,345.4688739,512.6730812,57.55189374,0
2.379109419,410.4013249,84214.62376,330.7953002,502.511042,58.7858607,0
3.037661622,524.9531089,137787.8833,342.3991629,511.5837721,56.32907165,0
2.334336683,400.1230804,80049.23972,333.2027494,505.1126815,57.22118735,0
2.506197214,427.3503686,91314.16879,325.3482198,498.7783128,57.02597038,0
3.334255111,565.8022639,160066.1009,320.3618593,495.1268725,55.57652121,0
3.420364134,582.3759413,169580.8685,325.6017056,499.6864805,55.87732992,0
3.766940452,635.7005021,202057.5642,315.1175417,491.1125543,55.69760071,0
4.118377835,693.8886645,240740.7394,306.5915713,484.5930489,56.86110692,0
3.910393565,659.3463376,217368.7965,316.8267793,492.696233,55.95956158,0
4.833644575,810.3641953,328345.0645,301.9972188,481.0549528,56.61294828,0
3.68012472,611.0503685,186691.2764,295.7938833,476.4391409,56.99103635,0
4.149179812,677.7294023,229658.5714,320.8722588,497.9495199,57.89540123,0
4.856231694,823.1240364,338766.5897,318.0240985,493.4511847,55.48533684,0
4.97109082,796.2703075,317023.2013,331.0046684,503.7551333,56.70276865,0
6.962568005,1106.352634,612008.0757,271.2952533,456.4817496,56.67601843,0
11.95354437,1854.358983,1719323.619,257.4728223,444.0018362,56.70065247,0
12.95651197,1957.297776,1915507.292,278.1963908,462.5565082,52.94305162,0
9.422166349,1500.685091,1126027.871,278.3251353,462.5411212,55.86174601,0
3.567802152,598.5172365,179111.4412,304.9470489,483.3567359,57.36611406,0
3.695527414,619.6202993,191964.6577,312.5566615,489.0279002,56.13225427,0
3.447137729,587.1455494,172369.9481,331.3362093,503.4326021,56.08977081,0
3.377982073,575.9679512,165869.5404,334.6519909,505.5728713,56.06972475,0
3.263830972,553.9720973,153442.5423,330.2974186,502.610571,56.18590222,0
2.683855572,456.7871981,104327.2722,326.5156711,500.5823733,56.7149802,0
2.545260186,435.1945026,94697.12755,322.8205985,496.5533814,58.30821172,0
2.423606764,413.5804677,85524.40162,328.2785622,500.508603,57.39086463,0
0.530529386,85.3636701,3643.478086,325.481154,499.8155274,68.88474105,0
0.92936509,161.9969227,13121.50149,351.4558443,518.0181548,56.63976682,0
1.129990574,197.4179436,19486.92223,360.2932763,523.685412,58.2344174,0
1.666797051,278.4733531,38773.7042,310.0334673,488.4514717,57.53043452,0
2.815613704,464.9627004,108095.1564,302.3675143,482.3837501,56.42720612,0
0.185137838,32.11731383,515.7609237,348.5746291,513.8996866,58.18029788,0
0.211900294,36.81893038,677.8168172,341.8615285,508.7448874,58.44449147,0
0.520076304,89.76899006,4029.235788,330.3399747,502.082249,58.29618867,0
1.438239552,208.3330551,21701.33093,244.6164916,428.4243891,62.07942099,0
1.623135309,279.3447704,39016.75036,337.3176709,506.8335425,57.90373128,0
4.245128634,619.8452042,192104.0386,235.5628125,423.5559886,56.52283086,0
4.791478469,692.7334862,239939.8414,232.2101839,420.391853,55.88326936,0
0.232982236,40.56806737,822.8840451,344.7443953,511.4955967,59.3853603,0
4.243209086,722.0233397,260658.8515,329.8541327,501.7229397,55.30097284,0
5.670031841,892.1180505,397937.308,265.0894266,452.1017303,56.19594312,0
3.446332894,553.2368956,153035.5313,276.8171198,461.7448069,56.73511636,0
0.70000385,121.8893139,7428.502419,355.840312,520.351122,57.31960455,0
1.374876896,234.1079773,27403.27252,322.2863136,495.604335,59.10817898,0
0.797698339,134.9328879,9103.442125,317.314769,491.4265869,59.20548509,0
2.929211506,467.8094219,109422.8276,271.5028634,457.3584388,57.56374745,0
6.738252054,1029.391274,529823.1978,250.7313012,438.4893202,55.31473368,0
3.56122639,546.8287027,149510.815,245.8956069,434.4997259,59.5964906,0
7.633523064,1103.390793,608735.6214,227.4571318,415.3973142,57.00024573,0
7.873770995,1088.587895,592511.8029,230.9775153,419.4395075,54.07215057,0
7.15281061,1026.121858,526463.0342,224.0432133,412.5106001,57.50210379,0
0.295635334,48.84206156,1192.773489,300.3140367,479.282626,59.38793061,0
2.160364774,352.6257235,62172.45044,300.5519336,477.7470884,59.01331358,0
0.316583497,44.26935068,979.8877047,224.4202406,409.901053,65.51944781,0
0.449090637,63.0360462,1986.77156,223.8830069,410.9418668,64.92246381,0
0.67429125,108.9696107,5937.188032,299.5518083,476.6679479,59.62072568,0
1.736052318,286.8825064,41150.78623,302.1625279,481.0262365,58.96689758,0
33.37332439,4053.13369,8213946.355,186.0904636,366.9192075,50.37818486,0
2.555968344,402.6098276,81047.33663,273.7130101,457.6189145,57.60623484,0
1.595780039,241.2160019,29092.57979,265.8028908,445.3271783,58.49028536,0
5.537840226,907.5443232,411818.3493,294.6736007,473.3413085,58.16528063,0
2.053851778,292.7734871,42858.15737,227.481276,415.4924414,60.20983728,0
1.94942809,314.2649741,49381.23697,288.6052301,470.6409255,58.41799023,0
8.256723685,1384.249329,958073.1028,323.8320099,496.1096027,54.96079587,0
3.648986625,598.9833125,179390.5043,303.9107106,482.537768,55.96563543,0
1.247606632,206.7723671,21377.4059,310.7200784,487.9250606,59.94908006,0
0.387489773,62.5313502,1955.084879,308.0135978,479.8850933,60.26394543,0
0.12183194,17.67627227,156.2253006,247.862486,431.7906299,68.85099414,0
0.252949476,42.2965268,894.4980896,318.9811048,493.2372805,61.2498629,0
0.345224961,57.08385998,1629.283535,308.6010159,486.1260868,60.23899183,0
2.145344787,304.9447566,46495.65228,229.0964321,415.1049116,60.07741536,0
5.885778147,934.8891744,437008.8842,287.2737523,465.1570181,53.97243867,0
0.262066187,37.01643283,685.1081497,263.1802518,444.4530829,78.11425001,0
1.430196724,203.3801397,20681.74061,235.2685629,419.2169392,59.86410502,0
0.399892436,59.27580959,1756.810801,255.8115091,437.8856956,63.7274244,0
0.851816382,129.9462075,8443.008419,252.00789,437.9210106,60.69279055,0
0.689351961,114.4664161,6551.280212,332.5214413,501.2692137,62.0070593,0
0.150117084,21.64552729,234.2644259,286.4556046,456.1489038,69.6111656,0
0.290990725,47.90060732,1147.234091,310.5183448,485.3608555,60.57463494,0
3.865814073,523.135886,136835.5776,238.1028761,424.0640687,55.74443182,0
0.190061776,30.79360466,474.1230441,310.5077435,484.4153194,63.25765701,0
0.636437939,96.54332928,4660.307215,261.8193273,443.5630542,66.70775217,0
12.26217933,1710.855901,1463513.957,233.5318587,417.907603,55.10867488,0
5.14648363,686.9359678,235940.5119,213.4997789,400.2035181,56.17902248,0
0.889453454,120.0060425,7200.72512,240.9827982,421.0639641,62.5788163,0
8.499934987,1094.329222,598778.2227,219.0424224,399.7265473,51.57891437,0
3.441088646,461.9241652,106686.9672,217.2132942,400.7119445,59.33298628,0
6.060471099,807.1352149,325733.6276,237.6480837,419.9605435,58.36785324,0
2.860797327,364.5014852,66430.66635,243.2542677,418.8981655,61.22706812,0
0.293009037,48.21042617,1162.122596,307.5245836,484.0649571,60.65508958,0
3.481318434,522.8518861,136687.0474,251.7942507,436.5975085,56.8038273,0
0.767147267,122.0903052,7453.02131,288.6408935,469.0080408,60.70172736,0
3.124170999,465.1095307,108163.4378,259.3720721,441.0765939,60.44180041,0
1.383658518,214.1505115,22930.22079,280.1342254,457.1483799,60.03409729,0
0.388260873,63.59296834,2022.032811,306.1881727,482.1617068,61.28691742,0
0.682567258,109.9992086,6049.912943,294.7705118,472.0630939,58.68249964,0
0.468656564,64.90537189,2106.35365,214.8368572,401.6037182,64.77211623,0
0.431902276,60.37222513,1822.402784,218.5107022,405.2867873,64.37041626,0
1.648856512,259.875929,33767.74923,278.0497677,457.7394007,59.11469003,0
0.615585124,99.08608359,4909.02598,288.3343173,468.6457766,59.50299063,0
0.637042807,100.7835827,5078.665275,275.4384657,457.6032257,58.47993716,0
0.793405671,125.1226853,7827.843194,271.2756198,455.5795056,59.29633212,0
2.638493205,434.9569505,94593.77441,298.1442761,477.8323384,57.19623192,0
2.419034396,397.7989004,79121.9826,303.9002412,482.1532458,57.10155149,0
3.059832396,503.651626,126832.4802,308.8605457,486.1790918,57.52978227,0
2.259752594,373.5107366,69755.13518,312.8030877,488.9799189,57.99108892,0
2.781714576,457.5124878,104658.8383,302.9452813,481.3926638,57.02101853,0
2.839212255,468.0732617,109546.2892,296.7902155,476.4845444,59.01993094,0
3.700656279,600.9548825,180573.3854,290.9219559,472.3289471,56.79002567,0
3.089263793,504.4156803,127217.5893,287.9133442,469.6978228,58.60957404,0
3.77022135,615.0686656,189154.7317,298.8764236,478.5233283,56.97157144,0
3.402770169,512.0885275,131117.33,314.5060494,488.675734,57.96725816,0
3.418299621,547.2905396,149763.4674,281.6020909,465.3502439,57.77824051,0
3.298231969,530.2209053,140567.1042,278.0656289,462.6702841,57.99555042,0
