Mean,S.D1,Variance,Kurtotis1,Skew1,Entrophy1,Class
0.045398431,23.43730613,274.6536593,498.3361545,1491.345887,145.1003042,0
0.031525738,16.71465087,139.6897768,507.4415747,1507.816566,140.1884772,0
0.029015371,15.36492956,118.0405302,538.2004119,1544.692021,140.6801582,0
0.253796598,158.5109647,12562.86296,765.0870379,1850.54091,124.2592814,0
0.290712903,181.0830161,16395.52936,753.9318328,1834.433101,124.8499172,0
0.295890764,185.6216764,17227.70337,787.5209408,1874.241038,124.1965287,0
0.081983881,50.56361026,1278.339341,719.2133819,1794.28812,123.5564007,0
0.10000294,62.05011811,1925.108579,733.3296033,1815.465594,122.6805235,0
0.117211855,74.0285894,2740.116024,811.3263742,1899.696399,124.1341232,0
0.233130473,144.8783765,10494.87199,736.6012801,1813.54115,128.8496716,0
0.265982622,164.3516383,13505.7305,722.014466,1796.96003,128.564919,0
0.508348731,301.9292024,45580.62164,653.9714665,1720.624894,125.2141835,0
0.506585728,299.9686419,44990.59306,661.5827879,1726.50983,127.3536904,0
1.280612461,728.1643641,265111.6706,575.6567511,1615.067861,126.4417834,0
1.556171421,828.3930408,343117.515,580.7159655,1620.604927,127.5791408,0
1.456456277,827.8052602,342630.7744,564.43901,1601.593893,130.9702761,0
1.661771748,879.9108308,387121.5351,485.2511036,1486.282914,124.7222228,0
1.616857369,855.1037229,365601.1884,470.3991285,1463.469581,128.9322876,0
0.681352292,321.9112639,51813.43091,435.1471877,1379.488583,131.9767354,0
1.857757097,903.8562787,408478.0863,429.7253046,1379.798466,128.7208883,0
0.025396461,16.09804569,129.5735376,813.8028895,1902.881355,119.258005,0
0.028922162,18.36120294,168.5668866,815.9540359,1904.643386,120.0022349,0
0.029660702,18.74198409,175.6309837,773.588675,1853.596737,119.8994569,0
1.008764474,583.8647822,170449.042,608.4586478,1658.821494,125.0418123,0
0.672679827,395.5270247,78220.81364,634.9226955,1693.040692,124.6495055,0
0.855203787,498.6172125,124309.5623,630.6284374,1687.509683,124.2666754,0
0.79013514,483.5796966,116924.6615,728.3842993,1805.16377,121.2781503,0
0.847180859,518.9833877,134671.8784,727.5086275,1804.625191,120.9318784,0
0.768021403,466.386654,108758.2555,705.1873348,1774.744449,122.3195544,0
0.84609914,460.0174484,105808.0264,508.8005201,1520.20123,130.4374121,0
1.003724088,536.5655944,143951.3185,499.4643692,1507.889052,124.560326,0
0.781231332,426.244242,90842.07693,521.7038091,1541.711988,126.0333931,0
0.402496556,242.3395456,29364.22769,688.2813272,1760.246308,125.0870302,0
0.629602651,356.0592711,63389.10228,681.6392578,1747.991311,138.1127484,0
0.124654051,78.17885598,3055.966761,781.8306576,1869.06996,124.6641083,0
0.270619621,162.2514056,13162.75932,652.8838886,1720.370815,126.8241366,0
0.056799543,30.64676581,469.6121274,588.6489078,1632.223865,174.2617115,0
0.128202268,72.3488461,2617.177766,620.1146309,1664.234443,135.1545586,0
