Mean,SD,Var,KUR,SKEW,Entr,Class
74.64659028,12769.56,81530831.28,394.3818305,544.3479711,59.39409538,0
15.87895641,2470.258936,3051089.605,325.7554018,490.329049,67.22718743,0
10.02879587,1600.721634,1281154.875,343.1363211,502.9408241,69.57942304,0
19.83741109,3172.898879,5033643.647,344.3626924,503.6636642,67.23803338,0
6.902275697,1065.123558,567244.0972,312.0835531,481.4431468,71.961162,0
10.16703173,1565.214671,1224948.484,317.3703371,484.5154833,70.12044666,0
22.17627661,3385.130175,5729553.151,311.4145684,479.9237735,65.12515984,0
19.98502366,3072.309012,4719541.334,345.7590942,508.0500104,55.01388912,0
34.17327578,5176.075641,13395879.52,305.41086,475.5154793,61.8082483,0
14.29491149,2331.339106,2717571.014,347.67899,507.130554,69.12177741,0
248.2198861,38814.01224,753263773.1,299.4581883,473.6722149,50.16831342,0
20.56453695,3395.22484,5763775.855,349.8429962,507.8376546,57.72354289,0
51380.98736,6538484.119,4.27518E+13,112.7921638,200.8638794,9.957757072,1
25292.31784,3134534.863,9.82531E+12,85.14560404,178.401565,9.918749711,1
52469.95082,6183938.095,3.82411E+13,84.60777818,175.8189898,6.798295418,1
5819.260184,737188.5942,5.43447E+11,110.4438169,199.1789174,13.70223528,1
5820.980353,736708.3031,5.43E+11,109.9248256,198.7376059,13.60237669,1
94429.25944,11309717.28,1.28E+14,90.01800904,180.5768211,6.97137274,1
93882.65791,11310414.17,1.28E+14,90.4144701,181.0586389,6.89080593,1
91692.11327,11203685.46,1.25523E+14,95.02720791,184.9363396,7.144350151,1
69882.18783,8216950.595,6.75183E+13,82.34145888,173.5858588,6.330573897,1
913.0456494,102837.3765,10575526004,71.71829392,162.0472081,14.30370585,1
724.0626106,82917.59137,6.88E+09,75.73022837,166.2703564,14.93827473,1
722.2181858,81577.4535,6.65E+09,74.59760502,164.6513703,14.73662987,1
413784.795,54809464.05,3.00E+15,127.0117482,212.7230491,8.843417788,1
414878.7581,55009244.5,3.03E+15,126.4293478,212.3506717,8.860558825,1
169825.6296,21918933.67,4.80E+14,117.0304675,204.1294626,9.156172027,1
142123.0687,18055975.6,3.26E+14,110.3892742,198.9108832,8.788240794,1
142145.4786,18015342.49,3.24553E+14,111.0426033,199.2124079,8.553449778,1
574.1870973,60670.34317,3680890541,65.43103682,155.3768678,10.78626838,1
585.470698,59856.68919,3582823241,56.91787181,146.7315596,10.2369092,1
428.1927186,45315.24887,2053471780,63.45423546,153.2766249,13.38516958,1
427.9731259,45639.66124,2082978678,65.55154372,155.3652512,13.5972097,1
435.7251613,46544.61751,2166401419,66.13677991,155.9148998,13.5481874,1
18535.60857,2319195.778,5.37867E+12,105.3023255,194.4857293,11.41000753,1
65809.74629,7758676.308,6.01971E+13,84.42387985,175.475812,6.67615729,1
65726.16157,7688569.076,5.91141E+13,83.06708906,174.2107441,6.357536769,1
65722.11794,7693048.72,5.9183E+13,83.33220551,174.4548201,6.307659532,1
63889.97455,7361725.75,5.4195E+13,74.79796588,166.5193102,4.693691544,1
63860.76355,7293043.994,5.31885E+13,73.23682803,165.0505677,4.489265944,1
65663.29667,7761562.172,6.02418E+13,85.39753475,176.2989958,6.867657261,1
65680.40556,7672168.919,5.88622E+13,82.45783893,173.7022017,6.307659532,1
65681.57605,7765421.906,6.03018E+13,85.53062842,176.397515,6.794293154,1
63842.84521,7251543.496,5.25849E+13,72.64071768,164.4649433,4.437245782,1
15385.10336,1828675.352,3.34405E+12,87.75567589,178.7545313,9.991798575,1
15378.94365,1844936.078,3.40379E+12,90.10575653,180.8408533,10.22533769,1
19579.30701,2316053.074,5.3641E+12,85.25502282,176.4584766,9.275828,1
19570.20751,2298868.687,5.2848E+12,83.62107167,174.9723962,8.695996064,1
19567.97588,2302804.977,5.30291E+12,84.40682165,175.6437959,8.673228398,1
47003.20176,5589663.174,3.12443E+13,87.68855463,176.7399761,9.549527116,1
50173.46427,6238751.257,3.8922E+13,87.4954285,179.1536055,10.78573927,1
45769.49703,5351909.138,2.86429E+13,78.88035097,170.4278147,7.43450689,1
50260.20251,6202458.815,3.84705E+13,84.7596796,176.8087176,10.6359099,1
