Mean,S.D,Variance,Kurtotis,Skewness,Entrophy,Class
5138.96012,784049.3224,6.15E+11,175.3514859,249.670787,17.30793917,1
4181.793613,615737.6877,3.79E+11,156.9308305,235.9300828,17.20659876,1
4536.869335,667532.9193,4.46E+11,156.0043213,234.6903484,18.00173791,1
3753.951855,555678.859,3.09E+11,149.7086575,231.4591285,18.59807491,1
5370.007399,790714.4332,6.25E+11,159.2417986,237.182942,17.55901733,1
4876.561864,721934.7563,5.21E+11,163.8749486,241.3191503,17.19224405,1
4303.771234,636087.5958,4.05E+11,153.727813,233.9155749,17.93116627,1
4155.273356,637413.841,4.06E+11,172.9013378,248.166478,17.41836945,1
272.8971337,38170.10745,1456957103,155.8673674,233.0235393,21.10573333,1
306.8233522,42462.53555,1803066926,146.4284294,226.2914361,20.76016357,1
389.2902647,54981.394,3022953686,157.7496155,233.4716763,20.32515013,1
447.129121,63365.85746,4015231891,165.6416742,239.3024481,20.49040772,1
443.1601575,63225.49326,3997462998,165.8964432,240.0676815,20.27433577,1
679.3739835,98154.78209,9634361247,162.6255506,241.0811131,19.46018159,1
693.984827,102399.4114,10485639445,178.6230766,251.4647988,19.53317171,1
698.0255643,102726.3621,10552705469,170.4188898,246.6027232,19.54594656,1
649.4671019,93973.93619,8831100683,166.4517194,243.9329672,19.52897785,1
224.5667777,31654.98355,1002037984,159.6018393,235.7950637,21.01177602,1
231.4292824,32670.51615,1067362626,165.2360523,239.096972,21.15175725,1
245.8961743,34242.53052,1172550897,154.851958,232.1506055,21.1419614,1
258.0771863,36187.86392,1309561495,158.708243,234.9993715,20.80029175,1
252.4501141,34916.71255,1219176815,156.5115105,233.0907666,20.97205008,1
1011.267651,143739.3609,20661003875,154.9052902,234.7826367,18.49939689,1
679.7592459,99367.89118,9873977798,165.3579834,243.1607032,19.86972319,1
716.7376638,102607.3199,10528262095,162.629639,239.9907457,19.46390296,1
739.1947124,107228.5646,11497965070,167.7517161,243.82518,19.52982055,1
11632.96618,1456458.38,2.12E+12,113.5831994,198.9225699,9.798633825,1
12762.164,1682882.841,2.83E+12,127.7581012,210.4574659,11.51918901,1
13834.62005,1637077.722,2.68E+12,70.25474518,163.9934245,9.278763487,1
11682.95127,1516609.752,2.30E+12,112.1277539,200.7229757,10.88488246,1
12719.77674,1638219.979,2.68E+12,102.4960155,194.2410567,10.37890542,1
11033.49029,1506408.398,2.27E+12,120.2073008,208.4158177,11.93401418,1
13545.27686,1740945.605,3.03E+12,96.61473167,189.2295792,10.22746945,1
10299.50706,1373520.345,1.89E+12,112.3573349,201.0342269,14.106767,1
12268.54173,1630232.666,2.66E+12,120.1907467,206.2715938,12.28177399,1
17443.08667,2340829.365,5.48E+12,113.6452691,203.4614102,11.09920638,1
100159.5231,10291918.68,2.64809E+13,225.3259062,585.853616,26.12407481,2
39400.70548,4633099.202,5.3664E+12,278.2387874,653.4113287,46.49736421,2
13037.11892,1589705.078,6.31791E+11,285.3617248,665.0103923,72.19225513,2
5273.223714,693913.3736,1.20379E+11,319.4947847,706.1140936,85.19688325,2
3378.381716,427680.554,45727664069,294.7112963,678.9805,83.45709682,2
1965.6712,249096.3009,15512241782,297.8352411,681.7526144,87.80857638,2
1592.998173,201514.3997,10152013320,297.8303958,681.7621146,89.69043473,2
1034.968515,133073.7121,4427153211,301.721453,688.0771412,93.13622194,2
785.8521702,99102.63108,2455332872,292.5136198,677.1148291,93.55495013,2
636.3327192,81287.97043,1651933534,298.9461459,684.6222638,95.92910034,2
513.9207093,65007.28301,1056486711,292.7305459,677.6496674,96.22855445,2
67549.71774,7782994.455,1.51438E+13,287.3325866,660.552889,34.50870142,2
19104.83029,2450811.45,1.50162E+12,340.1830064,719.6511874,72.82228262,2
5366.302488,649605.8465,1.05497E+11,281.8367865,662.7780599,73.3809585,2
2486.090098,302125.0357,22819884305,289.4448869,670.7375852,79.88249827,2
1765.003397,213231.4202,11366909636,283.7707847,664.2738578,80.68869784,2
904.3996017,109420.5195,2993212524,281.5718228,662.4527532,84.1204729,2
641.6947113,79031.86703,1561509002,290.4085042,672.8257967,88.16809099,2
458.904583,56568.97667,800012280.4,290.7339428,673.2502257,90.15842029,2
345.0470802,42988.81765,462009610.8,297.0521266,680.2732884,93.2251244,2
286.2249744,35187.64912,309542662.7,287.4304425,669.6986288,93.91156081,2
232.3814101,28534.41251,203553174.4,285.5713016,667.8427506,94.99141322,2
216961.3827,21210187.31,1.12468E+14,241.3112551,596.6508256,4.96229251,2
117303.0917,11921849.7,3.55326E+13,217.6725823,575.5995363,21.75758709,2
59392.80119,6230968.28,9.70624E+12,225.9253455,589.1265752,29.30232326,2
11963.30857,1492097.732,5.56589E+11,313.4262946,695.6469429,69.63661791,2
7364.955138,898700.4454,2.01916E+11,295.952277,676.069983,70.17601874,2
4381.079777,517699.4455,67003178968,279.6116631,657.3768947,68.41826596,2
3119.579096,373632.6627,34900341655,282.267944,661.6846755,75.21673369,2
2293.107415,270150.3225,18245299185,281.4673135,658.1094837,74.02267688,2
1812.079409,217429.522,11818899262,284.0621227,664.0045829,78.31150008,2
1419.919657,166870.3782,6961430780,278.2669072,655.509705,77.00007791,2
1215.067736,144238.9023,5201215231,278.7117695,657.5195006,80.3549778,2
94942.67877,10932073.93,2.98776E+13,279.64064,651.4901213,35.59531986,2
23641.75088,2874889.44,2.06625E+12,303.1933903,680.541234,56.01511459,2
6133.183234,745496.3376,1.38941E+11,301.8464122,678.3022156,72.98342353,2
1443.649922,166335.756,6916895933,266.0781753,641.6479833,72.44681097,2
1498.764666,176841.9401,7818267948,275.6525316,653.5934006,77.8545512,2
969.2839896,111675.896,3117876434,266.0790608,641.6869327,78.92602286,2
700.6124658,81668.86876,1667451031,268.0172459,645.0054201,82.64440784,2
526.9825862,61267.10355,938414494.4,265.999289,642.778122,84.34855857,2
396.414607,45873.07809,526084823.3,264.2202398,640.515857,86.18470716,2
260.3646051,30581.86795,2.34E+08,271.9207318,649.8832433,88.97024896,2
36527.68297,3327398.661,1.11E+13,41.1032552,125.9925905,3.011849716,3
9559.760065,1144864.482,1.31E+12,75.68134775,169.2874129,15.6914842,3
2683.834851,341379.4687,1.17E+11,79.22862063,174.8529175,19.94706117,3
1364.792474,175266.0433,30718185949,76.73847768,172.872523,20.39502502,3
754.7492505,96769.77398,9364389156,75.72283201,172.0853002,21.58232134,3
622.8614007,80047.50778,6407603501,74.98690624,171.5083811,22.17356659,3
332.8003056,41940.85997,1759035735,72.49458602,168.5787242,22.76746785,3
239.6939573,31267.09917,977631490.5,78.06385404,174.8709275,23.29875259,3
186.0968333,24199.67638,585624337.1,77.42059497,174.1610356,23.4196733,3
141.3000198,17907.65007,320683930.9,73.4874279,169.7612484,23.75865835,3
115.4496762,14876.08076,221297778.9,75.87381913,172.5089951,24.32720632,3
19147.01526,2173334.261,4.72E+12,73.78622235,165.4375168,9.604476461,3
4900.175267,600343.2136,3.60E+11,76.06244046,170.9312379,16.8179103,3
1339.523184,158680.8508,25179612409,67.77151102,162.4762905,17.82164355,3
880.3200813,104886.4027,11001157474,69.99526211,164.6831453,18.3562434,3
340.4047057,40438.81617,1635297854,69.14984156,163.8945089,20.02553263,3
234.6383453,28051.41042,786881626.7,69.7716617,164.6715725,20.43498253,3
153.0778094,18067.90703,326449264.4,68.34199989,162.9247952,21.17743092,3
112.8178477,13030.17864,169785555.4,65.53740876,159.5314518,21.22706013,3
87.87261936,10253.98055,105144117.2,66.65121338,160.9560387,22.35602711,3
70.22820671,7967.752769,63485084.2,63.5594728,157.0461788,21.44695787,3
